name,arrondissement,address,url,latitude,longitude,lambert93_x,lambert93_y
Le Petit Sultan,9,"Le Petit Sultan, 1 bis rue bleue - 75009 Paris 09",https://www.kebab-frites.com/kebab/le-petit-sultan-paris-09.html,48.875753,2.347762,652160.993,6864167.604
Restaurant Istanbul,11,"Restaurant Istanbul, 42 rue de l'orillon - 75011 Paris 11",https://www.kebab-frites.com/kebab/restaurant-istanbul-paris-11.html,48.87065,2.378049,654377.905,6863582.262
Tuz Gölü,20,"Tuz Gölü, 83 Rue Pixérécourt - 75020 Paris 20",https://www.kebab-frites.com/kebab/tuz-golu-paris-20.html,48.874803,2.395545,655664.802,6864034.081
Kebab gare du nord,10,"Kebab gare du nord, 12 Boulevard de Denain - 75010 Paris 10",https://www.kebab-frites.com/kebab/kebab-gare-du-nord-paris-10.html,48.879649,2.354925,652689.897,6864596.498
Relais Vaugirard,15,"Relais Vaugirard, 254 rue de Vaugirard - 75015 Paris 15",https://www.kebab-frites.com/kebab/relais-vaugirard-paris-15.html,48.839831,2.301711,648748.101,6860202.293
Madrevo,2,"Madrevo, 44 rue Poissonière - 75002 Paris 02",https://www.kebab-frites.com/kebab/madrevo-paris-02.html,48.870314,2.347978,652171.841,6863562.695
House Food,13,"House Food, 86 Rue Albert - 75013 Paris 13",https://www.kebab-frites.com/kebab/house-food-paris-13.html,48.827252,2.370708,653800.973,6858761.073
Restauration Rapide,20,"Restauration Rapide, 190 rue de belleville - 75020 Paris 20",https://www.kebab-frites.com/kebab/restauration-rapide-paris-20.html,48.875241,2.393842,655540.268,6864083.742
Resto L'Espoir,15,"Resto L'Espoir, 41 rue des Entrepreneurs - 75015 Paris 15",https://www.kebab-frites.com/kebab/resto-lespoir-paris-15.html,48.846179,2.286869,647665.156,6860917.857
Restaurant Gül,11,"Restaurant Gül, 228 Boulevard Voltaire - 75011 Paris 11",https://www.kebab-frites.com/kebab/restaurant-gul-paris-11.html,48.852459,2.388759,655147.844,6861553.430
Restaurant le Y,9,"Restaurant le Y, 24 rue godot de mauroy - 75009 Paris 09",https://www.kebab-frites.com/kebab/restaurant-le-y-paris-09.html,48.871592,2.327244,650652.175,6863717.557
Gallika,9,"Gallika, 7 rue Godot de Mauroy - 75009 Paris 09",https://www.kebab-frites.com/kebab/gallika-paris-09.html,48.870687,2.326745,650614.715,6863617.240
