id_mutation,date_mutation,longitude,latitude,num_ordre,C_QUINSEE,C_QU,C_AR,L_QU
2018-1427564,2018-01-12,2.391803,48.870668,1,7512001,77,20,Belleville
2018-1427565,2018-01-03,2.399296,48.855103,1,7512004,80,20,Charonne
2018-1427566,2018-01-24,2.385581,48.875226,1,7511904,76,19,Combat
2018-1427567,2018-01-08,2.403966,48.86816,1,7512002,78,20,Saint-Fargeau
2018-1427568,2018-01-12,2.377394,48.886445,1,7511901,73,19,Villette
2018-1427570,2018-01-26,2.403045,48.864287,1,7512003,79,20,Père-Lachaise
2018-1427571,2018-01-17,2.387479,48.88215,1,7511903,75,19,Amérique
2018-1427572,2018-01-22,2.398403,48.888244,1,7511903,75,19,Amérique
2018-1427573,2018-01-04,2.402919,48.856716,1,7512004,80,20,Charonne
2018-1427574,2018-01-09,2.409404,48.858276,1,7512004,80,20,Charonne
2018-1427575,2018-01-23,2.40615,48.877208,1,7511903,75,19,Amérique
2018-1427576,2018-01-18,2.392548,48.885312,1,7511903,75,19,Amérique
2018-1427577,2018-01-24,2.382191,48.874512,1,7511904,76,19,Combat
2018-1427578,2018-01-08,2.380409,48.88209,1,7511904,76,19,Combat
2018-1427578,2018-01-08,2.380409,48.88209,2,7511904,76,19,Combat
2018-1427579,2018-01-24,2.402889,48.848767,1,7512004,80,20,Charonne
2018-1427580,2018-01-12,2.400358,48.858465,1,7512003,79,20,Père-Lachaise
2018-1427583,2018-01-18,2.407111,48.852708,1,7512004,80,20,Charonne
2018-1427584,2018-01-26,2.383525,48.867855,1,7512001,77,20,Belleville
2018-1427585,2018-01-08,2.373697,48.87595,1,7511904,76,19,Combat
2018-1427588,2018-01-26,2.401909,48.848344,1,7512004,80,20,Charonne
2018-1427589,2018-01-11,2.40293,48.857482,1,7512004,80,20,Charonne
2018-1427590,2018-01-10,2.409263,48.857182,1,7512004,80,20,Charonne
2018-1427591,2018-01-29,2.394843,48.865731,1,7512003,79,20,Père-Lachaise
2018-1427592,2018-01-23,2.388491,48.864862,1,7512003,79,20,Père-Lachaise
2018-1427594,2018-01-17,2.367003,48.886366,1,7511901,73,19,Villette
2018-1427595,2018-01-10,2.400349,48.849021,1,7512004,80,20,Charonne
2018-1427595,2018-01-10,2.400349,48.849021,2,7512004,80,20,Charonne
2018-1427596,2018-01-19,2.409625,48.856852,1,7512004,80,20,Charonne
2018-1427597,2018-01-23,2.378745,48.875525,1,7511904,76,19,Combat
2018-1427598,2018-01-30,2.405696,48.865409,1,7512002,78,20,Saint-Fargeau
2018-1427599,2018-01-16,2.395443,48.887239,1,7511903,75,19,Amérique
2018-1427600,2018-01-17,2.394526,48.867475,1,7512003,79,20,Père-Lachaise
2018-1427601,2018-01-22,2.379345,48.872397,1,7512001,77,20,Belleville
2018-1427602,2018-01-10,2.40489,48.869855,1,7512002,78,20,Saint-Fargeau
2018-1427603,2018-01-03,2.405946,48.854214,1,7512004,80,20,Charonne
2018-1427604,2018-01-02,2.389542,48.872301,1,7512001,77,20,Belleville
2018-1427605,2018-01-31,2.390548,48.858562,1,7512003,79,20,Père-Lachaise
2018-1427606,2018-01-11,2.401415,48.869329,1,7512002,78,20,Saint-Fargeau
2018-1427607,2018-01-11,2.37291,48.891561,1,7511901,73,19,Villette
2018-1427609,2018-01-10,2.382027,48.871615,1,7512001,77,20,Belleville
2018-1427611,2018-01-10,2.405811,48.852076,1,7512004,80,20,Charonne
2018-1427612,2018-01-23,2.381995,48.874986,1,7511904,76,19,Combat
2018-1427613,2018-01-15,2.376308,48.89078,1,7511901,73,19,Villette
2018-1427614,2018-01-22,2.370991,48.885392,1,7511901,73,19,Villette
2018-1427617,2018-01-26,2.393006,48.886538,1,7511903,75,19,Amérique
2018-1427619,2018-01-29,2.386137,48.875092,1,7511904,76,19,Combat
2018-1427619,2018-01-29,2.386137,48.875092,2,7511904,76,19,Combat
2018-1427621,2018-01-31,2.38214,48.892265,1,7511902,74,19,Pont-de-Flandre
2018-1427623,2018-01-16,2.401396,48.852308,1,7512004,80,20,Charonne
2018-1427625,2018-01-31,2.383698,48.878525,1,7511904,76,19,Combat
2018-1427626,2018-01-23,2.400208,48.868592,1,7512003,79,20,Père-Lachaise
2018-1427627,2018-01-26,2.398955,48.872557,1,7512002,78,20,Saint-Fargeau
2018-1427628,2018-01-16,2.386146,48.864644,1,7512003,79,20,Père-Lachaise
2018-1427629,2018-02-01,2.40053,48.867903,1,7512003,79,20,Père-Lachaise
2018-1427631,2018-01-15,2.377129,48.889618,1,7511901,73,19,Villette
2018-1427632,2018-01-16,2.383058,48.883592,1,7511904,76,19,Combat
2018-1427633,2018-01-19,2.384216,48.883927,1,7511904,76,19,Combat
2018-1427634,2018-01-12,2.382584,48.874757,1,7511904,76,19,Combat
2018-1427635,2018-01-15,2.373511,48.881761,1,7511901,73,19,Villette
2018-1427636,2018-01-29,2.383982,48.870293,1,7512001,77,20,Belleville
2018-1427637,2018-01-25,2.381493,48.885351,1,7511904,76,19,Combat
2018-1427638,2018-01-24,2.403191,48.875724,1,7512002,78,20,Saint-Fargeau
2018-1427639,2018-01-26,2.400921,48.860783,1,7512003,79,20,Père-Lachaise
2018-1427640,2018-01-24,2.380369,48.88349,1,7511904,76,19,Combat
2018-1427641,2018-01-15,2.38089,48.873716,1,7511904,76,19,Combat
