,id_mutation,num_ordre,Distance_Complete,DPE_Complete,Date_dpe_Complete,DPE1,DPE2,DPE3,DPE4,DPE5,DPE6,DPE7,DPE1old,DPE2old,DPE3old,DPE4old,DPE5old,DPE6old,DPE7old
115,2018-1389322,1,11.90905579973206,7,20140718,0,0,0,0,0,0,0,0,0,0,0,0,0,1
116,2018-1389323,1,10.077414671510727,5,20160906,0,0,0,0,0,0,0,0,0,0,0,1,0,0
117,2018-1389324,1,9.28621730781289,3,20170112,0,0,0,0,0,0,0,0,0,1,0,0,0,0
118,2018-1389325,1,21.42920816685909,1,20140625,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,2018-1389327,1,19.157927315821617,6,20170619,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,2018-1389328,1,29.922344817269092,1,20130924,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,2018-1389331,1,10.666776028841367,6,20171128,0,0,0,0,0,0,0,0,0,0,0,0,1,0
122,2018-1389334,1,18.237571901755107,3,20180118,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,2018-1389336,1,24.570504027175705,5,20170619,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,2018-1389337,1,11.90905579973206,7,20140718,0,0,0,0,0,0,0,0,0,0,0,0,0,1
125,2018-1389338,1,5.240156590275256,5,20170225,0,0,0,0,0,0,0,0,0,0,0,1,0,0
126,2018-1389339,1,18.129910510256124,4,20170906,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,2018-1389340,1,10.664694049793573,6,20170904,0,0,0,0,0,0,0,0,0,0,0,0,1,0
128,2018-1389343,1,14.767593589682114,3,20141017,0,0,0,0,0,0,0,0,0,1,0,0,0,0
129,2018-1389346,1,16.705494071104752,5,20150115,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,2018-1389347,1,46.46112840965611,4,20160825,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,2018-1389348,1,28.65588045368484,6,20160929,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,2018-1389349,1,32.40308262544282,5,20140115,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,2018-1389350,1,24.187032714881603,4,20171222,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,2018-1389351,1,14.356840663082245,7,20170414,0,0,0,0,0,0,0,0,0,0,0,0,0,1
135,2018-1389352,1,10.404592030489935,4,20160819,0,0,0,0,0,0,0,0,0,0,1,0,0,0
136,2018-1389354,1,37.68638462256457,2,20170311,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,2018-1389355,1,9.575795791304104,5,20160118,0,0,0,0,0,0,0,0,0,0,0,1,0,0
138,2018-1389356,1,25.343713070315157,5,20150623,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,2018-1389357,1,28.832620957946556,7,20160311,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,2018-1389358,1,16.428874064634666,4,20150618,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,2018-1389361,1,43.1940419205788,5,20140519,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,2018-1389362,1,10.16490001242761,4,20140319,0,0,0,0,0,0,0,0,0,0,1,0,0,0
143,2018-1389363,1,43.1940419205788,5,20140519,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,2018-1389364,1,20.38212782404211,4,20171004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,2018-1389365,1,7.924032384711191,7,20160315,0,0,0,0,0,0,0,0,0,0,0,0,0,1
146,2018-1389366,1,16.162140906968126,7,20140724,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,2018-1389367,1,18.674432107747283,6,20150513,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,2018-1389367,2,18.674432107747283,6,20150513,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,2018-1389369,1,26.691971970010925,4,20171108,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,2018-1389371,1,5.74604178441957,4,20171011,0,0,0,0,0,0,0,0,0,0,1,0,0,0
151,2018-1389372,1,22.67256070646451,4,20170124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,2018-1389373,1,12.74771870447948,5,20151204,0,0,0,0,0,0,0,0,0,0,0,1,0,0
153,2018-1389375,1,27.790685022075017,1,20140829,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,2018-1389376,1,25.021597621001543,7,20171027,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,2018-1389378,1,20.844729017002024,5,20180207,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,2018-1389379,1,20.249926379653136,5,20160915,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,2018-1389380,1,7.568384872519568,5,20150302,0,0,0,0,0,0,0,0,0,0,0,1,0,0
158,2018-1389381,1,21.14084846257542,1,20170419,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,2018-1389381,2,21.14084846257542,1,20170419,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,2018-1389382,1,15.860769296883019,3,20160602,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,2018-1389383,1,9.695116686422072,3,20140506,0,0,0,0,0,0,0,0,0,1,0,0,0,0
162,2018-1389384,1,17.33025059409207,5,20160114,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,2018-1389385,1,5.996708042335233,6,20150915,0,0,0,0,0,0,0,0,0,0,0,0,1,0
164,2018-1389387,1,14.285329127156436,6,20170111,0,0,0,0,0,0,0,0,0,0,0,0,1,0
165,2018-1389388,1,13.105090702444791,5,20150623,0,0,0,0,0,0,0,0,0,0,0,1,0,0
166,2018-1389393,1,54.398017535338596,4,20170607,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,2018-1389394,1,22.867177217319828,5,20150429,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,2018-1389396,1,36.09187781148709,4,20161227,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,2018-1389397,1,26.691971970010925,4,20171108,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,2018-1389398,1,6.796972279518579,4,20160923,0,0,0,0,0,0,0,0,0,0,1,0,0,0
171,2018-1389399,1,10.120704035073903,4,20150109,0,0,0,0,0,0,0,0,0,0,1,0,0,0
172,2018-1389400,1,24.479106283620073,4,20161115,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,2018-1389401,1,7.8411992741468985,5,20170510,0,0,0,0,0,0,0,0,0,0,0,1,0,0
174,2018-1389402,1,30.901946734610345,5,20151221,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,2018-1389404,1,10.170612477167555,5,20170919,0,0,0,0,0,0,0,0,0,0,0,1,0,0
176,2018-1389405,1,57.656574836630504,4,20180119,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,2018-1389405,2,57.656574836630504,4,20180119,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,2018-1389406,1,29.562413181564427,4,20170210,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,2018-1389407,1,20.444683494013063,4,20170530,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,2018-1389408,1,13.704211888121963,5,20170213,0,0,0,0,0,0,0,0,0,0,0,1,0,0
181,2018-1389409,1,6.0531632736867,4,20140226,0,0,0,0,0,0,0,0,0,0,1,0,0,0
182,2018-1389413,1,26.847122856066495,4,20171123,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,2018-1389414,1,9.495798107825996,1,20171017,0,0,0,0,0,0,0,1,0,0,0,0,0,0
184,2018-1389418,1,7.3224324842799575,1,20171004,0,0,0,0,0,0,0,1,0,0,0,0,0,0
185,2018-1389419,1,33.73121210440297,7,20171103,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,2018-1389423,1,21.18512200446126,5,20170830,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,2018-1389424,1,18.129910510256124,4,20170906,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,2018-1389425,1,25.16885206463975,6,20140814,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,2018-1389429,1,18.144758704983172,6,20180129,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,2018-1389429,2,18.144758704983172,6,20180129,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,2018-1389430,1,17.434873296400113,5,20160407,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,2018-1389431,1,12.224107905006273,4,20160211,0,0,0,0,0,0,0,0,0,0,1,0,0,0
193,2018-1389433,1,29.803163318981166,4,20171204,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,2018-1389434,1,24.479106283620073,4,20161115,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,2018-1389434,2,24.479106283620073,4,20161115,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,2018-1389434,3,24.479106283620073,4,20161115,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,2018-1389434,4,24.479106283620073,4,20161115,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,2018-1389434,5,24.479106283620073,4,20161115,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,2018-1389435,1,12.569356973870706,7,20140121,0,0,0,0,0,0,0,0,0,0,0,0,0,1
200,2018-1389436,1,9.311391161975715,5,20171025,0,0,0,0,0,0,0,0,0,0,0,1,0,0
201,2018-1389436,2,9.311391161975715,5,20171025,0,0,0,0,0,0,0,0,0,0,0,1,0,0
202,2018-1389437,1,11.725350550249315,5,20170123,0,0,0,0,0,0,0,0,0,0,0,1,0,0
203,2018-1389440,1,11.917165424860727,3,20171127,0,0,0,0,0,0,0,0,0,1,0,0,0,0
204,2018-1389442,1,24.918683951634808,2,20160905,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,2018-1389443,1,13.53516521695337,6,20160618,0,0,0,0,0,0,0,0,0,0,0,0,1,0
206,2018-1389444,1,24.125674955456972,3,20180117,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,2018-1389444,2,24.125674955456972,3,20180117,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,2018-1389445,1,18.394206911581453,5,20180105,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,2018-1389447,1,8.163253376813655,2,20131028,0,0,0,0,0,0,0,0,1,0,0,0,0,0
210,2018-1389448,1,18.033846516095302,6,20150930,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,2018-1389449,1,3.2300663440570943,5,20140425,0,0,0,0,0,0,0,0,0,0,0,1,0,0
212,2018-1389450,1,15.526222008319058,4,20170713,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,2018-1389451,1,13.975551484432113,5,20170918,0,0,0,0,0,0,0,0,0,0,0,1,0,0
214,2018-1389452,1,24.479106283620073,4,20161115,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,2018-1389453,1,14.7807161759559,3,20170223,0,0,0,0,0,0,0,0,0,1,0,0,0,0
216,2018-1389454,1,33.77051838983299,5,20150312,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,2018-1389458,1,23.85273155324359,4,20170913,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,2018-1389459,1,28.148762910904136,5,20180205,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,2018-1389460,1,19.157927315821617,6,20170619,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,2018-1389467,1,18.666884691680536,1,20180106,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,2018-1389468,1,4.179134402479006,5,20140826,0,0,0,0,0,0,0,0,0,0,0,1,0,0
222,2018-1389469,1,19.167342882931305,6,20170502,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,2018-1389470,1,19.167342882931305,6,20170502,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,2018-1389472,1,5.429105906226672,5,20160105,0,0,0,0,0,0,0,0,0,0,0,1,0,0
225,2018-1389473,1,3.6744683867360526,7,20171002,0,0,0,0,0,0,0,0,0,0,0,0,0,1
226,2018-1389475,1,19.69572642433155,6,20150616,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,2018-1389476,1,11.99925067923148,3,20161215,0,0,0,0,0,0,0,0,0,1,0,0,0,0
228,2018-1389477,1,10.574393641848285,6,20160801,0,0,0,0,0,0,0,0,0,0,0,0,1,0
229,2018-1389479,1,13.028541507155163,7,20170515,0,0,0,0,0,0,0,0,0,0,0,0,0,1
